1,,,,,,,,,2,,,3,,,4,,,,,,,,,12,,,,,,6,,,,,,,,,,,,7,,,
,,,,,,8,,,,,,,,,,,,7,,,,,,,,,3,,,,,,,,,9,,,10,,,6,,,11
,,,12,,,,,,,,,10,,,,,,,,,1,,,,,,13,,,,,,11,,,,,,,,,14,,,
3,,,,,,,,,15,,,2,,,,,,,,,14,,,,,,,,,,,,9,,,,,,,,,12,,,
13,,,,,,,,,,,,8,,,,,,,,,10,,,,,,12,,,2,,,,,,1,,,15,,,,,,
,,,11,,,7,,,6,,,,,,,,,,,,16,,,,,,,,,,,,15,,,,,,,,,5,,,13
,,,,,,,,,10,,,,,,5,,,15,,,,,,,,,4,,,,,,8,,,,,,,,,11,,,
16,,,,,,,,,5,,,9,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,
,,,2,,,,,,,,,,,,,,,,,,13,,,,,,,,,12,,,5,,,8,,,,,,,,,3
,,,13,,,,,,,,,15,,,,,,3,,,,,,,,,14,,,8,,,,,,16,,,,,,,,,
5,,,8,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,13,,,9,,,15,,,
,,,,,,12,,,4,,,,,,6,,,16,,,,,,13,,,,,,,,,7,,,,,,,,,,,,5
,,,3,,,,,,,,,12,,,,,,,,,,,,6,,,,,,,,,4,,,11,,,,,,,,,16
,,,7,,,,,,,,,16,,,,,,5,,,,,,14,,,,,,,,,1,,,,,,,,,2,,,
11,,,1,,,15,,,9,,,,,,,,,13,,,,,,,,,2,,,,,,,,,,,,14,,,,,,
,,,14,,,,,,,,,,,,11,,,,,,2,,,,,,,,,13,,,3,,,5,,,,,,,,,12
