,7,,,6,,,18,2,,,,16,,,,,20,,,,,11,,9
,21,,3,,,,,10,,,24,,,18,,12,,6,2,4,,,,19
,,,12,,,,9,,,,,,,,,,,,,,16,,,17
,,1,,,7,,,,,,6,13,,10,,,9,,17,23,15,20,5,22
,15,,,,,16,,19,,,,,,14,,13,,,,,,10,6,2
,8,12,,,,,,,,14,17,6,,9,,,23,2,,3,,,,24
,14,,,13,,,8,9,7,,,,,25,,3,,11,,,,6,,1
1,,3,,7,22,,,,,,21,8,,,,6,14,,,,13,19,,25
,,17,16,2,18,,,25,10,19,,,24,1,22,,4,,,,21,23,7,12
,,4,25,20,16,,,,,,,2,,,19,,1,,,9,17,,,8
,,,,,,,,,,24,14,,1,,2,4,10,,,25,,,19,11
,,,,,,,17,5,,,,,,,,,19,,,,,,,20
,,,24,,,,,3,,25,22,,6,7,,,18,,23,,12,4,21,15
9,22,,,,,15,,7,,,,,21,,,8,,,20,,,3,,23
,,,,,25,,,,,,,19,11,,,,5,15,7,17,,24,,13
,,24,,,,6,,8,13,12,11,,,,10,,,,,,,2,16,3
,16,,14,,,,,,,,,,,,,,,,13,,,,,21
,,,,,,,,,,,,,,20,,,2,,,7,25,,,4
,25,,,3,,,16,,,22,,,23,6,,,21,12,15,19,,,17,10
,5,21,2,,,,,17,,10,,25,,,3,,,4,,1,23,,24,18
,,25,,,,,,,,,,22,,4,,10,,,,,,18,,14
,23,8,7,,,,,20,25,,1,21,,2,,,,,,,,15,13,5
,,,15,,,,,18,19,5,,14,10,,16,,,,22,21,,,,6
,2,11,10,,,13,,,,,,,25,,,,,20,,,,,,16
,,6,,,,22,,,16,,,,20,,,,15,,,11,,,,7
