,,,,,,,,33,,,23,,25,,10,,,,20,,,,,,,,,,29,,34,,,,16
2,,,,34,,21,,,28,24,,,,,16,,,,8,,1,,7,,,,14,,11,9,,,29,18,20
33,,,,,4,,,,,18,6,14,,,,,5,,16,,17,,,,31,24,,,,,,35,,,13
,17,,,,,,15,,,,16,,2,,33,,28,26,36,,,,,,,,,21,,32,10,,,5,24
,27,22,,,24,,7,,,10,,,20,32,,31,,,,29,12,,,,6,5,,,,11,36,,,15,21
,26,,35,,,,,,29,,,13,,,6,,,30,,10,24,,,,22,,,,,,,,14,,12
25,,,29,28,,11,5,19,,,10,1,,,14,,34,17,12,,,,26,22,32,36,,,27,31,,6,,,8
,35,,33,12,17,,,,18,,31,,23,25,,,,,,28,8,,,,,,5,,13,,,22,,,1
,,,,,,,,,,,13,,,8,,,16,,,11,36,5,14,31,28,20,6,,,,,25,23,,15
9,24,,31,,,,,,,,,,,2,,,30,21,3,33,6,,,,18,,,,15,,20,,,,17
,,,,5,,,21,34,,15,1,,,35,,20,6,,31,,13,,,,,,19,,,33,,30,28,,18
,,,,,,,,,,28,,19,,,,,12,18,,,7,,4,9,29,33,,,,5,,2,34,,11
,,,,,,,,21,30,,,18,12,28,,2,,33,19,1,32,,5,,13,16,7,,,24,,,,3,35
,33,,,,,16,,1,,,2,,,23,5,,24,22,,,,8,35,,19,28,,,,,,,7,,14
,25,4,6,,9,,,,,19,15,27,,13,26,10,,,,,20,,28,,3,,,,,,,,32,,23
,,,,,,18,11,26,,,,,3,,,,,,,34,,21,,,,,24,20,32,28,,,,30,5
,,5,,18,8,,,,,,,,16,6,,,36,,27,,,,13,,,,,,4,,1,,,2,25
,,,,,,9,27,,5,7,36,,32,19,30,14,21,15,23,24,,31,3,6,,,,17,,,,,,,29
,,,18,,16,,,25,22,1,34,9,,17,,,,,26,36,31,,,,,3,20,,,,,,5,,2
6,,,,31,,,,,15,14,,5,4,,8,,,,10,16,,,2,,7,,28,,,17,32,,,24,34
,15,26,,,,,,23,,4,12,,,,22,,,,25,,28,7,,10,,,,,34,30,19,,,,31
,,,,,,,,11,,,,,,3,,,,,,,15,4,,18,21,,,19,,,22,,,,10
,20,,,27,,,,2,16,,,,,,25,,11,,,32,18,,,,,,,23,5,6,,,33,,28
,36,25,,23,11,29,9,,,3,20,7,6,30,,,,5,22,,14,,,33,17,,,,16,8,,12,,,4
32,,18,,,,,,,,,24,,,26,,,,,,,,,,5,,,8,6,7,,,33,,,9
,34,,,,33,,28,,,,21,,8,5,29,,25,,,,4,,,3,,,,,,16,,,27,13,22
,13,23,21,,,,,,,8,,,,24,34,,,20,28,2,,,,30,27,,4,,33,,,,,,19
,2,,,,26,,,,,17,,,11,15,,30,,,,6,,,,,16,,,34,,,,21,,,36
,22,11,,,,19,14,,,,,,,36,,6,,,,,26,12,,,,17,18,15,2,,,,10,,7
,,,,19,,,2,,,22,11,16,13,,4,,,35,,,23,34,30,,,21,,,25,,,,,1,32
,,,,3,12,,,,,,18,,22,7,31,,,32,,,,,1,,,,16,,24,,5,,,,6
,23,,4,,,,,,14,,,,,,,1,,16,,18,27,,,11,,,9,,,36,28,7,12,,30
21,14,,,,,,32,22,,,35,,,,17,,,,,,,,8,,1,,,,23,,25,,9,,3
,,,27,,,34,,,12,13,,3,,16,,24,,10,,,,20,23,,25,6,29,,,22,,,15,21,33
,,1,,,,,29,4,25,,,,15,,,,26,36,11,,34,2,,17,,7,,,,18,,10,24,,27
,,,,,22,33,,,,,,,28,,,,27,,7,,,,,,,,,36,,,16,,,,26
